"dpto","code","mpio","year","periodo","crop","harvested","prod","yield","NA"
"NARIÑO",52233,"CUMBITARA","CAFE",2007,"2007",56,46,36.8,0.8
"NARIÑO",52435,"MALLAMA","CAFE",2007,"2007",56,41,26.65,0.65
"NARIÑO",52385,"LA LLANADA","CAFE",2007,"2007",37.5,31.5,47.25,1.5
"NARIÑO",52083,"BELEN","CAFE",2007,"2007",36,33,29.7,0.9
"NARIÑO",52788,"TANGUA","CAFE",2007,"2007",35,25,12.5,0.5
"NARIÑO",52287,"FUNES","CAFE",2007,"2007",34,26,28.6,1.1
"NARIÑO",52480,"NARIÑO","CAFE",2007,"2007",16,13,14.3,1.1
"NORTE DE SANTANDER",54206,"CONVENCION","CAFE",2007,"2007",2904.84,2641.95,1694.985625,0.641566125399799
"NORTE DE SANTANDER",54660,"SALAZAR","CAFE",2007,"2007",2603.94,2489.24,857.9275,0.344654392505343
"NORTE DE SANTANDER",54720,"SARDINATA","CAFE",2007,"2007",2303.18,2186.71,980.898125,0.448572570208212
"NORTE DE SANTANDER",54051,"ARBOLEDAS","CAFE",2007,"2007",2127.61,2065.62,757.09875,0.366523731373631
"NORTE DE SANTANDER",54670,"SAN CALIXTO","CAFE",2007,"2007",1918.49,1754.83,1143.590625,0.65168171560778
"NORTE DE SANTANDER",54245,"EL CARMEN","CAFE",2007,"2007",1710.06,1518.86,824.56125,0.54288166782982
"NORTE DE SANTANDER",54820,"TOLEDO","CAFE",2007,"2007",1662.5,1605.57,543.969375,0.338801406976961
"NORTE DE SANTANDER",54239,"DURANIA","CAFE",2007,"2007",1590.28,1562.21,610.414375,0.390737720921003
"NORTE DE SANTANDER",54223,"CUCUTILLA","CAFE",2007,"2007",1540.58,1511.41,724.119375,0.479101881686637
"NORTE DE SANTANDER",54313,"GRAMALOTE","CAFE",2007,"2007",1463.99,1409.38,507.27375,0.359926882742766
"NORTE DE SANTANDER",54418,"LOURDES","CAFE",2007,"2007",1425.05,1336.96,479.36,0.35854475825754
"NORTE DE SANTANDER",54344,"HACARI","CAFE",2007,"2007",1179.45,1092.88,627.87,0.574509552741381
"NORTE DE SANTANDER",54377,"LABATECA","CAFE",2007,"2007",1034.87,1005.92,310.25,0.3084241291554
"NORTE DE SANTANDER",54109,"BUCARASICA","CAFE",2007,"2007",907.94,858.01,441.496875,0.514559125185021
"NORTE DE SANTANDER",54800,"TEORAMA","CAFE",2007,"2007",868.42,840.2,499.1675,0.594105570102357
"NORTE DE SANTANDER",54172,"CHINACOTA","CAFE",2007,"2007",851.5,822.86,318.47125,0.387029689133024
